,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
qlib,7127,7243,11665,12550,13737,18243,20003,20125,23144,25173
QUANTAXIS,0,0,0,0,0,52,52,52,36,6809
qutebrowser,17198,17478,17538,17668,17888,20595,20595,23342,26250,26299
ray,10897,10683,10857,12760,13003,14530,16482,24480,27865,26532
recommenders,2389,2349,4700,7398,7842,13333,14717,15315,15657,15839
redash,1510,2940,2940,2961,2961,2964,2964,2964,2967,2967
redis-rdb-tools,1885,1887,2216,2221,2221,2319,2318,2590,2606,2669
rich,3395,3494,4032,4511,4516,4720,4766,4895,4895,4951
robotframework,30784,30988,31656,32031,32349,32360,32537,32575,32575,32743
rq,5658,6486,6494,6514,6553,6564,6709,6743,6951,7009
rtv,1190,1190,1191,1300,1421,1432,1436,1579,1734,1739
RxPY,22771,23296,23564,25223,26429,26473,26744,27302,27302,27307
salt,88245,65168,64830,64835,21102,21659,24111,27158,29465,32169
sanic,1483,1691,2084,2314,2779,3187,3641,4045,4057,4965
SASM,10082,10082,10082,10082,10082,10082,10082,10082,10082,10082
scapy,50408,0,13570,16663,16897,18795,0,0,51614,57235
scikit-image,36101,39328,39328,38186,40617,40623,40619,44443,44486,44526
scikit-learn,76142,88914,89541,93697,102574,103217,93810,103310,103476,102905
scipy,103102,103114,103190,109839,110113,110277,110292,110408,119952,119977
ScoutSuite,0,4796,4795,4843,5104,7089,7090,6009,6552,7330
scrapy,22669,22671,22725,22319,20935,22571,22881,24043,24046,24046
seaborn,1792,1977,5811,6008,6946,8369,8411,10805,11375,11702
searx,6592,6602,7767,8513,9454,9873,10389,10411,10457,10731
security_monkey,5400,5836,6296,6360,6179,6367,6742,8066,9848,10850
sentence-transformers,1675,2414,2414,2586,2609,2887,3153,3311,3707,4204
sentry,32203,39521,39583,39638,39680,39680,39688,39702,40341,40341
serverless-application-model,55,55,55,55,2365,8907,9015,9090,9266,9937
sigma,4883,4481,4411,4411,4977,5688,6845,7284,8338,8338
sktime,5314,8028,9355,12289,13964,14429,15148,16456,17109,17695
snorkel,3179,4237,6992,7941,8458,5995,6199,6298,6302,6388
speech_recognition,502,573,564,578,666,683,666,687,694,694
speedtest-cli,395,474,507,507,525,525,568,909,907,916
spotify-downloader,1233,1377,1554,1563,1723,1738,1742,1870,1875,1880
spyder,61903,62569,62752,63330,63330,63330,67708,63378,63422,63441
sqlalchemy,151508,151076,150706,150229,149925,149411,149273,149120,149052,148727
sqlfluff,674,1051,1494,3067,3089,4241,4232,4232,4269,5275
st2,20371,20499,20561,20601,23453,23488,23488,26580,26592,26643
stanza,6625,6596,7297,9325,9482,9482,11700,13871,15750,15986
starlette,6683,6795,6796,6798,6815,6907,6889,6912,7141,7284
statsmodels,100792,102382,120069,120235,130635,130868,131060,131612,140857,141372
streamlink,12732,12719,13006,13703,15446,15718,15878,17081,17355,18119
streamlit,18130,18130,18407,18407,18456,18577,18659,18903,19270,19603
synapse,16817,16818,16821,16821,17448,17966,17966,17970,20242,20244
Synonyms,157,159,233,238,537,564,584,586,526,584
Telethon,1636,1811,1899,2051,2148,2241,2290,2301,2786,2855
tensor2tensor,7054,7238,7318,7330,7513,7526,7739,7777,8059,8097
tensorboardX,921,2015,1881,2037,3950,4028,4334,4576,4922,5501
TensorLayer,4079,5193,5440,5439,5460,5523,5612,5737,5834,5862
termtosvg,907,916,929,944,1024,1047,1046,1067,1275,1248
textgenrnn,324,390,390,409,409,452,460,459,512,512
textual,2203,2941,4917,5145,5213,5213,5213,5438,5438,5438
thefuck,5873,5883,5883,5888,5914,5960,6074,6075,6427,6490
theHarvester,3592,4703,5566,5682,6039,6180,2755,3364,3329,3330
thumbor,6750,6747,6750,6759,6788,6799,6807,6814,6869,6869
tianshou,3571,4077,4475,4979,5059,5628,6519,6997,7307,7300
tinydb,1577,1599,1258,1280,1309,1384,1573,1486,1482,1378
tpot,381,651,903,955,1724,1311,1659,1511,1844,2905
transformers,2306,2306,2424,2715,6177,6190,7046,7046,8138,11287
transitions,2808,2853,2853,2897,3186,3261,3290,3325,3352,3387
trax,12921,15503,15503,15515,18502,20863,19004,19032,19799,19826
tribler,65186,60435,60437,60460,60440,60557,60564,60564,60564,60597
troposphere,2256,2566,2728,2907,2990,3251,3251,3293,3458,3657
